id,carat,depth,table,x,y,z,price,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0,1.5,61.5,58.0,7.32,7.34,4.51,9.588,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2.01,60.6,59.0,8.11,8.25,4.96,9.748,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
2,0.5,61.6,57.0,5.13,5.09,3.15,7.255,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3,0.25,61.6,57.0,4.05,4.08,2.5,6.45,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4,0.52,62.0,55.0,5.16,5.19,3.21,7.721,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5,0.44,60.6,64.0,4.97,4.89,2.99,7.121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,0.52,58.3,61.0,5.26,5.31,3.08,7.422,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,1.11,62.2,58.0,6.61,6.64,4.12,8.938,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,0.34,62.7,56.0,4.48,4.51,2.82,6.545,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
9,0.29,61.7,58.0,4.23,4.29,2.63,6.223,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
10,0.3,61.0,60.0,4.3,4.22,2.6,6.564,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,1.21,62.5,60.0,6.77,6.7,4.21,9.091,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,1.04,62.6,57.0,6.45,6.48,4.05,8.422,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
13,1.2,61.5,59.0,6.84,6.81,4.2,8.446,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
14,0.39,61.2,60.0,4.73,4.68,2.88,6.917,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
15,1.5,60.8,61.0,7.39,7.35,4.48,9.186,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
16,0.32,62.7,58.0,4.37,4.34,2.73,6.317,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
17,0.53,58.4,58.0,5.31,5.38,3.12,7.393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,0.51,62.8,57.1,5.07,5.1,3.2,7.586,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
19,1.07,62.0,59.0,6.54,6.5,4.04,8.417,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20,0.72,61.4,59.0,5.79,5.71,3.53,7.973,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,0.8,61.7,58.0,5.96,5.93,3.67,8.105,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,0.23,60.2,57.0,3.99,4.05,2.42,6.142,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
23,0.73,61.6,56.0,5.76,5.8,3.56,8.327,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,1.76,59.6,58.0,7.9,7.86,4.7,9.537,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,1.01,62.8,58.0,6.34,6.37,3.99,8.725,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
